"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2026-03-23T14:39:53.193Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - No Strings",false,"United States",1673804537,1673805359,"home / album_detail",2026-03-23T14:39:53.193Z,NATURAL_END_OF_TRACK,2026-03-23T15:44:42.221Z,2026-03-23T15:44:42.256Z,2026-03-23T15:41:48.138Z,174131,174086,174131,AUDIO,0,2,0,348169
2026-03-23T14:37:03.267Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Sycamore",false,"United States",1673804537,1673805225,"home / album_detail",2026-03-23T14:37:03.267Z,NATURAL_END_OF_TRACK,2026-03-23T15:41:48.054Z,2026-03-23T15:41:48.087Z,2026-03-23T15:38:57.983Z,170119,170071,170119,AUDIO,0,2,0,340126
2026-03-23T14:34:05.126Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Vega",false,"United States",1673804537,1673805220,"home / album_detail",2026-03-23T14:34:05.126Z,NATURAL_END_OF_TRACK,2026-03-23T15:38:57.917Z,2026-03-23T15:38:57.943Z,2026-03-23T15:35:59.817Z,178158,178100,178158,AUDIO,0,2,0,356133
2026-03-21T08:44:57.611Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Spark",false,"United States",1673804537,1673805212,"home / album_detail",2026-03-21T08:44:57.611Z,NATURAL_END_OF_TRACK,2026-03-23T15:35:59.897Z,2026-03-23T15:35:59.927Z,2026-03-23T15:32:25.096Z,214890,215289,214890,AUDIO,0,3,0,645181
2026-03-23T15:28:27.235Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Borderline",false,"United States",1673804537,1673805210,"home / album_detail",2026-03-23T15:28:27.235Z,NATURAL_END_OF_TRACK,2026-03-23T15:32:25.009Z,2026-03-23T15:32:26.648Z,2026-03-23T15:28:27.235Z,237800,237774,237800,AUDIO,0,1,0,237774
2026-03-23T15:21:13.248Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Colourblind",false,"United States",1673804537,1673804922,"home / album_detail",2026-03-23T15:21:13.248Z,NATURAL_END_OF_TRACK,2026-03-23T15:24:42.476Z,2026-03-23T15:24:42.514Z,2026-03-23T15:21:13.248Z,209311,209228,209311,AUDIO,0,1,0,209228
2026-03-23T15:17:22.137Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - End Of Youth",false,"United States",1673804537,1673804914,"home / album_detail",2026-03-23T15:17:22.137Z,NATURAL_END_OF_TRACK,2026-03-23T15:21:13.177Z,2026-03-23T15:21:17.669Z,2026-03-23T15:17:22.137Z,231084,231040,231084,AUDIO,0,1,0,231040
2026-03-23T15:13:39.203Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Dusty",false,"United States",1673804537,1673804906,"home / album_detail",2026-03-23T15:13:39.203Z,NATURAL_END_OF_TRACK,2026-03-23T15:17:22.156Z,2026-03-23T15:17:22.202Z,2026-03-23T15:13:39.203Z,223001,222953,223001,AUDIO,0,1,0,222953
2026-03-23T15:10:09.027Z,Album,"Ed Sheeran - - (Deluxe)","Ed Sheeran - Life Goes On",false,"United States",1673804537,1673804898,"home / album_detail",2026-03-23T15:10:09.027Z,NATURAL_END_OF_TRACK,2026-03-23T15:13:39.225Z,2026-03-23T15:13:39.248Z,2026-03-23T15:10:09.027Z,210252,210198,210252,AUDIO,0,1,0,210198
2026-03-20T17:18:22.770Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - Season 2 Weight Loss",false,"United States",1870984032,1870984044,"library / album_detail",2026-03-20T17:18:22.770Z,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",2026-03-23T14:26:22.943Z,2026-03-23T14:26:23.934Z,2026-03-23T14:22:48.055Z,229610,229535,229603,AUDIO,0,2,1,451079
2026-03-02T04:35:25.268Z,Playlist,N/A,"PinkPantheress - Stateside (with Zara Larsson)",false,"United States","pl.pm-01ed408c735a7f33840ff8e1e2e3a28a",1843595808,"home / playlist_detail",2026-03-02T04:35:25.268Z,NATURAL_END_OF_TRACK,2026-03-23T04:50:18.706Z,2026-03-23T04:50:18.760Z,2026-03-23T04:47:13.688Z,184805,185793,184805,AUDIO,0,43,8,7021747
2026-03-18T04:04:32.076Z,Album,"Harry Styles - Kiss All The Time. Disco, Occasionally.","Harry Styles - American Girls",false,"United States",1870984032,1870984036,"home / playlist_detail",2026-03-18T04:04:32.076Z,NATURAL_END_OF_TRACK,2026-03-23T02:12:32.678Z,2026-03-23T02:12:32.718Z,2026-03-23T02:08:59.379Z,213483,213715,213440,AUDIO,0,10,6,874409
