Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
"United States",1625198692,AUDIO,20250107,9,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,N/A,"Ed Sheeran - One Life"
"United States",1702583449,AUDIO,20250108,1,63416,PLAYBACK_SUSPENDED,IPHONE,1,0,false,1702583449,"Bleachers - Modern Girl"
"United States",1784926302,AUDIO,20250109,19,62982,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1784926302,"Jung Jae Il - Round the Circle I"
"United States",1689131956,AUDIO,20250109,19,35286,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,1689131956,"Taylor Swift - You're On Your Own, Kid"
"United States",1689131531,AUDIO,20250109,19,31467,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1689131531,"Taylor Swift - Lavender Haze"
"United States",1784926308,AUDIO,20250109,19,31012,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,2,false,1784926308,"Jung Jae Il - O X II"
"United States",1689131533,AUDIO,20250109,19,30762,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,1689131533,"Taylor Swift - Anti-Hero"
"United States",1784926471,AUDIO,20250109,19,30004,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,1,1,false,1784926471,"Jung Jae Il - Round the Circle V"
"United States",1784926307,AUDIO,20250109,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1784926307,"Jung Jae Il - No Way Back"
"United States",1689131534,AUDIO,20250109,19,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1689131534,"Taylor Swift - Snow On The Beach (feat. Lana Del Rey)"
"United States",1585116222,AUDIO,20250109,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1585116222,"Park Minjoo - Needles and Dalgona"
"United States",1784926306,AUDIO,20250109,19,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1784926306,"Jung Jae Il - Round II"
"United States",1784926299,AUDIO,20250109,19,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",IPHONE,0,1,false,1784926299,"Kim Sungsoo - Pink Soldiers Redux"
"United States",1689131532,AUDIO,20250109,19,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1689131532,"Taylor Swift - Maroon"
"United States",1225759939,AUDIO,20250110,13,215539,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759939,"Bleachers - Don't Take the Money"
"United States",1702583449,AUDIO,20250110,11,215489,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1702583449,"Bleachers - Modern Girl"
"United States",884282144,AUDIO,20250110,11,204488,NATURAL_END_OF_TRACK,IPHONE,1,0,false,884282144,"Bleachers - I Wanna Get Better"
"United States",1567285165,AUDIO,20250110,13,199626,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1567285165,"Bleachers - Stop Making This Hurt"
"United States",884282120,AUDIO,20250110,13,69548,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,false,884282120,"Bleachers - Rollercoaster"
"United States",1225759939,AUDIO,20250111,22,365323,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1225759939,"Bleachers - Don't Take the Money"
"United States",884282144,AUDIO,20250111,22,204520,NATURAL_END_OF_TRACK,IPHONE,1,0,false,884282144,"Bleachers - I Wanna Get Better"
"United States",1567285165,AUDIO,20250111,22,199626,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1567285165,"Bleachers - Stop Making This Hurt"
"United States",884282120,AUDIO,20250111,22,188866,NATURAL_END_OF_TRACK,IPHONE,1,0,false,884282120,"Bleachers - Rollercoaster"
"United States",1225759944,AUDIO,20250111,23,97565,PLAYBACK_SUSPENDED,IPHONE,1,0,false,1225759944,"Bleachers - I Miss Those Days"
"United States",884282149,AUDIO,20250111,23,74878,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,false,884282149,"Bleachers - You're Still a Mystery"
"United States",1225759938,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1225759938,"Bleachers - Hate That You Know Me"
"United States",1712730492,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1712730492,"Bleachers - Tiny Moves"
"United States",1567285161,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1567285161,"Bleachers - How Dare You Want More"
"United States",1702583449,AUDIO,20250111,22,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1702583449,"Bleachers - Modern Girl"
"United States",884282119,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282119,"Bleachers - Wild Heart"
"United States",1042007986,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1042007986,"Bleachers & Sia - Like a River Runs"
"United States",1225759940,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1225759940,"Bleachers - Everybody Lost Somebody"
"United States",884282148,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,884282148,"Bleachers - Like a River Runs"
"United States",1334779519,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1334779519,"Bleachers - Alfie's Song (Not So Typical Love Song)"
"United States",1567285160,AUDIO,20250111,23,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,false,1567285160,"Bleachers - Chinatown (feat. Bruce Springsteen)"
"United States",1689131534,AUDIO,20250112,2,256124,NATURAL_END_OF_TRACK,IPHONE,1,0,false,1689131534,"Taylor Swift - Snow On The Beach (feat. Lana Del Rey)"
