"Application","Apple ID Number","Device Identifier","IP Address","Logged In Date","Signon Status","StoreFront Name"
"Game Center","20393913896","","2607:fb91:2190:210:c1a5:3800:8032:d9f8","2025-06-22T07:19:18.000Z","0",""
"FaceTime","20393913896","","172.56.166.24","2025-06-22T16:21:54.000Z","0",""
"FaceTime","20393913896","","2607:fb91:2190:210:c1a5:3800:8032:d9f8","2025-06-22T07:19:18.000Z","0",""
"iCloud Account Services","20393913896","","2607:fb91:2190:210:c1a5:3800:8032:d9f8","2025-06-22T07:19:23.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","206.71.246.206","2025-06-16T05:01:40.000Z","0","United States"
"FaceTime","20393913896","","2607:fb91:2190:210:3d30:6e43:4a9c:fdea","2025-06-08T06:28:27.000Z","0",""
"iCloud Account Services","20393913896","","2607:fb91:2190:210:3d30:6e43:4a9c:fdea","2025-06-08T06:28:27.000Z","0",""
"Game Center","20393913896","","2607:fb91:2190:210:3d30:6e43:4a9c:fdea","2025-06-08T06:28:27.000Z","0",""
"iCloud Account Services","20393913896","","2607:fb91:2190:210:3d30:6e43:4a9c:fdea","2025-06-08T06:28:32.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","67.245.24.232","2025-06-01T05:16:10.000Z","0","United States"
"Game Center","20393913896","","207.237.184.154","2025-05-24T06:30:13.000Z","0",""
"iCloud Account Services","20393913896","","207.237.184.154","2025-05-24T06:30:15.000Z","0",""
"iCloud Account Services","20393913896","","207.237.184.154","2025-05-24T06:30:13.000Z","0",""
"FaceTime","20393913896","","207.237.184.154","2025-05-24T06:30:13.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-05-10T04:51:35.000Z","0",""
"FaceTime","20393913896","","207.38.207.146","2025-05-10T04:51:35.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-05-10T04:51:36.000Z","0",""
"Game Center","20393913896","","207.38.207.146","2025-05-10T04:51:35.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-05-10T04:51:37.000Z","0",""
"iCloud Account Services","20393913896","","2607:fb91:eed:1759:7585:9ff7:55d6:f882","2025-04-29T17:05:06.000Z","0",""
"Game Center","20393913896","","207.38.207.146","2025-04-25T23:32:32.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-04-25T23:32:32.000Z","0",""
"FaceTime","20393913896","","207.38.207.146","2025-04-25T23:32:32.000Z","0",""
"iCloud Account Services","20393913896","","207.38.207.146","2025-04-25T23:32:33.000Z","0",""
"iCloud Account Services","20393913896","","2607:fb91:eed:1759:7585:9ff7:55d6:f882","2025-04-29T17:05:05.000Z","0",""
"iTunes Music Store","20393913896","00008120-0001391921F8201E","149.31.133.70","2025-04-25T06:37:39.000Z","0","United States"
